"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.56,0.72,0.53,0.51,0.61,0.44,0.5,0.54,0.53,0.54,0.53,0.5,0.61,0.77,0.66
"2",0.4,0.41,0.4,0.38,0.36,0.43,0.43,0.38,0.39,0.54,0.39,0.42,0.42,0.42,0.44
"3",0,0.13,0,0.01,0.03,0,0,0,0.01,0.29,0.02,0,0.11,0.03,0.09
