"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.72,1,0.64,0.62,1,0.67,0.57,0.99,0.75,0.94,0.92,0.91,0.86,1,0.83
"2",0.43,0.8,0.4,0.39,1,0.5,0.41,0.89,0.55,0.82,0.63,0.72,0.71,0.98,0.66
"3",0.02,0.01,0.02,0.01,0,0.04,0.01,0.05,0.03,0.02,0.01,0.01,0.05,0.02,0
