"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.74,0.62,0.66,0.6,0.86,0.56,0.58,0.64,0.64,0.63,0.67,0.59,0.64,0.84,0.66
"2",0.37,0.42,0.41,0.39,0.43,0.43,0.42,0.39,0.44,0.42,0.36,0.41,0.42,0.42,0.46
"3",0.01,0.01,0.03,0.01,0.02,0.01,0.01,0,0.04,0.02,0.02,0,0.02,0,0.03
