"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",0.73,0.6,0.68,0.57,0.57,0.68,0.57,0.63,0.5,0.55,0.55,0.55,0.53,0.58,0.5,0.54,0.55,0.5,0.54,0.51,0.53,0.54
"2",0.73,0.6,0.68,0.57,0.57,0.68,0.57,0.63,0.5,0.55,0.55,0.55,0.53,0.58,0.5,0.54,0.55,0.5,0.54,0.51,0.53,0.54
"3",0.43,0.43,0.43,0.48,0.45,0.39,0.44,0.42,0.5,0.46,0.49,0.44,0.45,0.45,0.48,0.45,0.46,0.45,0.46,0.47,0.47,0.43
"4",0.43,0.43,0.43,0.48,0.45,0.39,0.44,0.42,0.5,0.46,0.49,0.44,0.45,0.45,0.48,0.45,0.46,0.45,0.46,0.47,0.47,0.43
"5",0.01,0.01,0,0.03,0,0.02,0.05,0,0,0,0,0.05,0.05,0.03,0,0.05,0.01,0.04,0.01,0,0.07,0.01
"6",0.49,0.35,0.41,0.34,0.35,0.42,0.37,0.39,0.21,0.35,0.35,0.29,0.32,0.4,0.28,0.31,0.33,0.32,0.35,0.19,0.33,0.3
"7",0.49,0.35,0.41,0.34,0.35,0.42,0.37,0.39,0.21,0.35,0.35,0.29,0.32,0.4,0.28,0.31,0.33,0.32,0.35,0.19,0.33,0.3
"8",0.24,0.21,0.22,0.26,0.23,0.22,0.24,0.21,0.21,0.26,0.29,0.26,0.24,0.23,0.28,0.22,0.27,0.21,0.26,0.19,0.27,0.21
"9",0.24,0.21,0.22,0.26,0.23,0.22,0.24,0.21,0.21,0.26,0.29,0.26,0.24,0.23,0.28,0.22,0.27,0.21,0.26,0.19,0.27,0.21
"10",0,0,0.01,0.02,0.03,0.01,0.03,0,0,0.02,0,0.01,0.05,0,0,0.07,0,0.04,0.03,0,0.02,0
