"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",0.44,0.67,0.45,0.48,0.49,0.46,0.51,0.51,0.48,0.55,0.46,0.5,0.46,0.49,0.46,0.47,0.48,0.52,0.5,0.46,0.46,0.47
"2",0.63,0.67,0.56,0.52,0.55,0.6,0.58,0.62,0.57,0.58,0.5,0.5,0.5,0.56,0.5,0.5,0.54,0.52,0.51,0.58,0.49,0.52
"3",0.32,0.37,0.35,0.42,0.42,0.32,0.44,0.31,0.48,0.44,0.45,0.44,0.44,0.48,0.45,0.43,0.43,0.44,0.45,0.46,0.46,0.42
"4",0.44,0.67,0.45,0.48,0.44,0.46,0.45,0.4,0.48,0.44,0.45,0.44,0.46,0.48,0.46,0.43,0.46,0.44,0.46,0.46,0.46,0.43
"5",0.08,0.24,0.13,0.38,0.35,0.08,0.36,0.07,0.45,0.36,0.41,0.4,0.39,0.32,0.43,0.38,0.39,0.41,0.38,0.46,0.41,0.34
"6",0.29,0.53,0.31,0.27,0.33,0.33,0.33,0.27,0.19,0.36,0.28,0.27,0.22,0.38,0.26,0.24,0.29,0.41,0.3,0.18,0.27,0.28
"7",0.46,0.53,0.36,0.33,0.33,0.37,0.4,0.39,0.19,0.41,0.28,0.3,0.29,0.38,0.35,0.35,0.34,0.41,0.34,0.18,0.43,0.29
"8",0.18,0.2,0.21,0.22,0.31,0.2,0.24,0.17,0.15,0.23,0.25,0.22,0.22,0.38,0.22,0.24,0.23,0.22,0.24,0.18,0.26,0.18
"9",0.3,0.53,0.26,0.27,0.31,0.25,0.24,0.23,0.19,0.24,0.28,0.27,0.22,0.38,0.28,0.24,0.25,0.26,0.29,0.18,0.27,0.22
"10",0.05,0.13,0.06,0.15,0.17,0.03,0.18,0.02,0.15,0.18,0.24,0.22,0.18,0.16,0.18,0.14,0.18,0.14,0.16,0.18,0.22,0.13
