"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",0.58,0.68,0.49,0.46,0.6,0.55,0.56,0.58,0.47,0.55,0.49,0.52,0.47,0.53,0.5,0.48,0.48,0.5,0.51,0.48,0.5,0.5
"2",0.63,0.68,0.49,0.46,0.6,0.6,0.56,0.58,0.47,0.55,0.49,0.52,0.5,0.57,0.5,0.52,0.48,0.5,0.51,0.48,0.53,0.5
"3",0.38,0.4,0.4,0.46,0.44,0.4,0.46,0.38,0.47,0.45,0.46,0.44,0.43,0.45,0.48,0.4,0.44,0.44,0.46,0.48,0.44,0.43
"4",0.4,0.4,0.4,0.46,0.44,0.4,0.46,0.38,0.47,0.45,0.46,0.44,0.45,0.45,0.48,0.45,0.44,0.44,0.46,0.48,0.47,0.43
"5",0.01,0.15,0,0,0.3,0.01,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0.39,0
"6",0.37,0.44,0.26,0.27,0.41,0.33,0.33,0.32,0.22,0.28,0.28,0.28,0.26,0.31,0.29,0.3,0.27,0.24,0.28,0.2,0.3,0.28
"7",0.42,0.44,0.26,0.27,0.41,0.33,0.33,0.32,0.22,0.28,0.28,0.28,0.26,0.31,0.29,0.3,0.27,0.24,0.28,0.2,0.35,0.28
"8",0.2,0.25,0.22,0.27,0.24,0.23,0.27,0.2,0.22,0.26,0.24,0.25,0.26,0.25,0.28,0.25,0.26,0.24,0.28,0.2,0.26,0.22
"9",0.23,0.25,0.22,0.27,0.24,0.23,0.24,0.2,0.22,0.26,0.24,0.25,0.26,0.25,0.28,0.25,0.26,0.23,0.28,0.2,0.26,0.22
"10",0.03,0.08,0.21,0.27,0.08,0.07,0,0,0.22,0.2,0.24,0.25,0.21,0,0.28,0.09,0.26,0.23,0.28,0.2,0.14,0.18
